# LISTE COMPLÈTE DES ÉVÉNEMENTS ÉCONOMIQUES – VERSION DÉFINITIVE
# Format: Pays | Événement Original → Traduction française | Jour & Heure habituelle
# TOUS les événements de la base de données (423 events)
# Chaque événement est rattaché à UN SEUL PAYS
# Aucun doublon – Aucun événement flottant
# Date: 15 novembre 2025
# Généré automatiquement depuis: traduction.txt + DB + mapping fallback


## 🇺🇸 ÉTATS-UNIS – 169 événements
US | ADP Non-Farm Employment Change → Variation de l’emploi non agricole (ADP) | Mercredi (2 jours avant NFP) – 14h15
CA | Gov Council Member Mendes Speaks → Discours du membre Mendes du Conseil | Variable
CA | Gov Council Member Rogers Speaks → Discours du membre Rogers du Conseil | Variable
CA | Gov Council Member Vincent Speaks → Discours du membre Vincent du Conseil | Variable
CA | Ivey PMI → Indice des directeurs d’achat Ivey | 5e jour ouvré – 16h00
CA | Manufacturing Sales m/m → Ventes manufacturières canadiennes | 15e – 14h30
CA | Manufacturing Sales q/q → Ventes manufacturières canadiennes | Trimestriel – 14h30

## 🇨🇭 SUISSE – 17 événements
CH | Credit Suisse Economic Expectations → Attentes économiques Credit Suisse | Mensuel – variable
CH | Daylight Saving Time Shift → Passage à l’heure d’été/hiver | Mars & Oct. – non planifié
CH | Gov Board Member Martin Speaks → Discours du membre Martin du Conseil | Variable
CH | Gov Board Member Schlegel Speaks → Discours du membre Schlegel du Conseil | Variable
CH | Gov Board Member Tschudin Speaks → Discours du membre Tschudin du Conseil | Variable
CH | KOF Economic Barometer → Baromètre économique KOF | 30e – 09h00
CH | Overnight Rate → Taux au jour le jour | SNB – 09h30
CH | SECO Consumer Climate → Climat des consommateurs SECO | Trimestriel – 08h00
CH | SECO Economic Forecasts → Prévisions économiques SECO | Trimestriel – 08h00
CH | SNB Chairman Jordan Speaks → Discours du président Jordan | Variable
CH | SNB Chairman Schlegel Speaks → Discours du président Schlegel | Variable
CH | SNB Financial Stability Report → Rapport de stabilité financière de la SNB | Juin – 09h30
CH | SNB Monetary Policy Assessment → Évaluation de la politique monétaire de la SNB | Trimestriel – 09h30
CH | SNB Policy Rate → Taux directeur de la SNB | SNB – 09h30
CH | SNB Press Conference → Conférence de presse de la SNB | SNB – 10h00
CH | SNB Quarterly Bulletin → Bulletin trimestriel de la SNB | Trimestriel – 09h30
CH | UBS Economic Expectations → Attentes économiques UBS | Mensuel – variable

## 🇫🇷 FRANCE – 19 événements
FR | French 10-y Bond Auction → Adjudication d’obligations françaises à 10 ans | 1er jeudi – 10h50
FR | French Bank Holiday → Jour férié français | Variable
FR | French Consumer Spending m/m → Dépenses de consommation françaises | 30e – 07h30
FR | French Final CPI m/m → Indice des prix à la consommation français final | 15e – 08h45
FR | French Final Manufacturing PMI → Indice des directeurs d’achat manufacturier français final | 1er jour ouvré – 09h50
FR | French Final Private Payrolls q/q → Masse salariale privée française finale | Trimestriel – 07h30
FR | French Final Services PMI → Indice des directeurs d’achat des services français final | 5e jour ouvré – 09h50
FR | French Flash GDP q/q → Produit intérieur brut français flash | 30e – 07h30
FR | French Flash Manufacturing PMI → Indice des directeurs d’achat manufacturier français flash | 23e – 09h15
FR | French Flash Services PMI → Indice des directeurs d’achat des services français flash | 23e – 09h15
FR | French Gov Budget Balance → Solde budgétaire du gouvernement français | Trimestriel – 08h45
FR | French Industrial Production m/m → Production industrielle française | 10e – 08h45
FR | French Parliamentary Elections → Élections à l’Assemblée nationale | Juin/Juillet – non planifié
FR | French Prelim CPI m/m → Indice des prix à la consommation français préliminaire | 30e – 08h45
FR | French Prelim GDP q/q → Produit intérieur brut français préliminaire | 45e jour – 07h30
FR | French Prelim Private Payrolls q/q → Masse salariale privée française préliminaire | Trimestriel – 07h30
FR | French Trade Balance → Balance commerciale française | 7e – 08h45
FR | Inflation Expectations q/q → Attentes d’inflation | Trimestriel – 08h45
FR | Lower House Elections → Élections législatives | Juin/Juillet – non planifié

## 🇪🇸 ESPAGNE – 8 événements
ES | Public Sector Net Borrowing → Emprunts nets du secteur public | Mensuel – 09h00
ES | Spanish 10-y Bond Auction → Adjudication d’obligations espagnoles à 10 ans | Jeudi – 10h30
ES | Spanish Flash CPI y/y → Indice des prix à la consommation espagnol flash | 30e – 09h00
ES | Spanish Flash GDP q/q → Produit intérieur brut espagnol flash | 30e – 09h00
ES | Spanish Manufacturing PMI → Indice des directeurs d’achat manufacturier espagnol | 1er jour ouvré – 09h15
ES | Spanish Services PMI → Indice des directeurs d’achat des services espagnol | 5e jour ouvré – 09h15
ES | Spanish Unemployment Change → Variation du chômage espagnol | 1er jour ouvré – 09h00
ES | Spanish Unemployment Rate → Taux de chômage espagnol | Trimestriel – 09h00

## 🇮🇹 ITALIE – 11 événements
IT | Italian 10-y Bond Auction → Adjudication d’obligations italiennes à 10 ans | Variable – 11h00
IT | Italian Bank Holiday → Jour férié italien | Variable
IT | Italian Industrial Production m/m → Production industrielle italienne | 10e – 10h00
IT | Italian Manufacturing PMI → Indice des directeurs d’achat manufacturier italien | 1er jour ouvré – 09h45
IT | Italian Monthly Unemployment Rate → Taux de chômage mensuel italien | 30e – 10h00
IT | Italian Prelim CPI m/m → Indice des prix à la consommation italien préliminaire | 30e – 11h00
IT | Italian Prelim GDP q/q → Produit intérieur brut italien préliminaire | 30e – 10h00
IT | Italian Quarterly Unemployment Rate → Taux de chômage trimestriel italien | Trimestriel – 10h00
IT | Italian Retail Sales m/m → Ventes au détail italiennes | 7e – 10h00
IT | Italian Services PMI → Indice des directeurs d’achat des services italien | 5e jour ouvré – 09h45
IT | Italian Trade Balance → Balance commerciale italienne | 15e – 10h00

## ��🇪 BELGIQUE – 1 événements
BE | Belgian NBB Business Climate → Climat des affaires de la NBB belge | 20e – 15h00

## 🇨🇳 CHINE – 6 événements
CN | 1-y Loan Prime Rate → Taux préférentiel de prêt à 1 an | 20e – 03h15
CN | 5-y Loan Prime Rate → Taux préférentiel de prêt à 5 ans | 20e – 03h15
CN | Commodity Prices y/y → Prix des matières premières | Mensuel – 03h00
CN | Foreign Direct Investment ytd/y → Investissement étranger direct (cumul annuel) | 20e – 09h00
CN | M2 Money Stock y/y → Masse monétaire M2 | 15e – 09h00
CN | NBS Press Conference → Conférence de presse du Bureau national des statistiques | Trimestriel – 03h00

## 🌍 AUTRES / INTERNATIONAL – 18 événements
OTHER | 10-y Bond Auction → Adjudication d'obligations à 10 ans | Variable
OTHER | 30-y Bond Auction → Adjudication d'obligations à 30 ans | Variable
OTHER | BRICS Summit → Sommet des BRICS | Variable
OTHER | Common CPI y/y → Indice des prix à la consommation commun | Variable
OTHER | FPI m/m → Indice des prix à la production des intrants | Variable
OTHER | G20 Meetings → Réunions du G20 | Variable
OTHER | G7 Meetings → Réunions du G7 | Variable
OTHER | GDT Price Index → Indice des prix GDT | Variable
OTHER | IMF Meetings → Réunions du FMI | Variable
OTHER | Loan Officer Survey → Enquête auprès des agents de crédit | Variable
OTHER | M2 Money Supply y/y → Masse monétaire M2 | Variable
OTHER | M3 Money Supply y/y → Masse monétaire M3 | Variable
OTHER | M4 Money Supply m/m → Masse monétaire M4 | Variable
OTHER | Mid-Year Economic and Fiscal Outlook → Perspectives économiques et budgétaires de mi-année | Variable
OTHER | OPEC Meetings → Réunions de l'OPEC | Variable
OTHER | OPEC-JMMC Meetings → Réunions du comité mixte OPEC-JMMC | Variable
OTHER | S&P/CS Composite-20 HPI y/y → Indice des prix immobiliers S&P/CS | Variable
OTHER | SPPI y/y → Indice des prix à la production des services | Variable
